username,department,role,account_status,finding_type,severity,soc2_control,nist_control,finding_detail,access_key_age_days,password_last_rotated_days,last_login_days,mfa_enabled,access_level
Scarlett.brown,Security & Compliance,HIPAA Compliance Auditor,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,239,231,28,True,Administrator
Benjamin.moore,Security & Compliance,GRC Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,127,233,27,True,PowerUser
Evelyn.thomas,Security & Compliance,Security Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,121,52,16,True,ReadOnly
Aria.anderson,Security & Compliance,Security Engineer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,1,109,21,False,Support
Aria.anderson,Security & Compliance,Security Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,1,109,21,False,Support
Logan.moore,Security & Compliance,SOC Analyst,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,151,65,28,False,Administrator
Logan.moore,Security & Compliance,SOC Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,151,65,28,False,Administrator
Logan.moore,Security & Compliance,SOC Analyst,ACTIVE,PRIVILEGED_NO_MFA,CRITICAL,CC6.3,AC-6(5),User has elevated privileges (Admin/PowerUser) but MFA is not enabled,151,65,28,False,Administrator
Sophia.johnson,Security & Compliance,Security Engineer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,244,138,13,False,PowerUser
Sophia.johnson,Security & Compliance,Security Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,244,138,13,False,PowerUser
Sophia.johnson,Security & Compliance,Security Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,244,138,13,False,PowerUser
Sophia.johnson,Security & Compliance,Security Engineer,ACTIVE,PRIVILEGED_NO_MFA,CRITICAL,CC6.3,AC-6(5),User has elevated privileges (Admin/PowerUser) but MFA is not enabled,244,138,13,False,PowerUser
Jack.jackson,Security & Compliance,Security Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,120,113,26,True,ReadOnly
Jack.jackson,Security & Compliance,Security Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,120,113,26,True,ReadOnly
Logan.taylor,Cloud Operations,Cloud Infrastructure Admin,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,214,178,11,True,SecurityAudit
Logan.taylor,Cloud Operations,Cloud Infrastructure Admin,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,214,178,11,True,SecurityAudit
James.jones,Cloud Operations,Cloud Infrastructure Admin,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,160,71,21,True,Support
Abigail.miller,Cloud Operations,Cloud Infrastructure Admin,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,288,35,27,False,Support
Sophia.anderson,Cloud Operations,DevOps Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,125,104,20,True,Support
Sophia.anderson,Cloud Operations,DevOps Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,125,104,20,True,Support
Jack.johnson,Cloud Operations,Platform Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,258,135,21,True,PowerUser
Jack.johnson,Cloud Operations,Platform Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,258,135,21,True,PowerUser
Daniel.rodriguez,Cloud Operations,DevOps Engineer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,170,207,25,False,Developer
Daniel.rodriguez,Cloud Operations,DevOps Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,170,207,25,False,Developer
Daniel.rodriguez,Cloud Operations,DevOps Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,170,207,25,False,Developer
Noah.jones,Cloud Operations,Platform Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,287,12,26,True,Administrator
Mia.lopez,Cloud Operations,Platform Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,220,42,28,True,Administrator
Jack.wilson,Cloud Operations,Cloud Infrastructure Admin,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,52,100,12,True,Developer
Ava.garcia,Cloud Operations,Cloud Infrastructure Admin,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,90,235,16,True,SecurityAudit
Chloe.brown,Clinical Operations,Clinical Workflow Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,127,78,24,True,Limited
Sebastian.davis,Clinical Operations,Clinical Workflow Analyst,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,235,99,20,False,ReadOnly
Sebastian.davis,Clinical Operations,Clinical Workflow Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,235,99,20,False,ReadOnly
Jackson.rodriguez,Clinical Operations,Clinical Data Viewer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,142,231,27,True,SecurityAudit
Jackson.rodriguez,Clinical Operations,Clinical Data Viewer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,142,231,27,True,SecurityAudit
Emma.rodriguez,Clinical Operations,Clinical Workflow Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,274,94,29,True,Developer
Emma.rodriguez,Clinical Operations,Clinical Workflow Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,274,94,29,True,Developer
Harper.martin,Clinical Operations,Clinical Workflow Analyst,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,222,98,19,False,PowerUser
Harper.martin,Clinical Operations,Clinical Workflow Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,222,98,19,False,PowerUser
Harper.martin,Clinical Operations,Clinical Workflow Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,222,98,19,False,PowerUser
Harper.martin,Clinical Operations,Clinical Workflow Analyst,ACTIVE,PRIVILEGED_NO_MFA,CRITICAL,CC6.3,AC-6(5),User has elevated privileges (Admin/PowerUser) but MFA is not enabled,222,98,19,False,PowerUser
Ava.taylor,Clinical Operations,Clinical Reporting Specialist,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,22,191,16,False,ReadOnly
Ava.taylor,Clinical Operations,Clinical Reporting Specialist,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,22,191,16,False,ReadOnly
Scarlett.brown,Clinical Operations,Clinical Data Viewer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,169,169,19,True,Support
Scarlett.brown,Clinical Operations,Clinical Data Viewer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,169,169,19,True,Support
Abigail.jones,Clinical Operations,Clinical Reporting Specialist,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,206,188,20,True,ReadOnly
Abigail.jones,Clinical Operations,Clinical Reporting Specialist,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,206,188,20,True,ReadOnly
Mia.gonzalez,Clinical Operations,Clinical Workflow Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,89,167,11,True,Administrator
Ethan.anderson,Clinical Operations,Clinical Data Viewer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,296,165,9,True,VendorTemporaryAccess
Ethan.anderson,Clinical Operations,Clinical Data Viewer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,296,165,9,True,VendorTemporaryAccess
Mia.taylor,Clinical Operations,Clinical Data Viewer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,86,178,27,True,SecurityAudit
Olivia.smith,Clinical Operations,Clinical Data Viewer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,115,216,23,True,Administrator
Olivia.smith,Clinical Operations,Clinical Data Viewer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,115,216,23,True,Administrator
Jack.jackson,Clinical Operations,Clinical Workflow Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,37,126,16,True,ReadOnly
Henry.smith,Clinical Operations,Clinical Workflow Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,124,47,9,True,PowerUser
Abigail.davis,Customer Support,Patient Support Agent,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,265,128,28,False,PowerUser
Abigail.davis,Customer Support,Patient Support Agent,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,265,128,28,False,PowerUser
Abigail.davis,Customer Support,Patient Support Agent,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,265,128,28,False,PowerUser
Abigail.davis,Customer Support,Patient Support Agent,ACTIVE,PRIVILEGED_NO_MFA,CRITICAL,CC6.3,AC-6(5),User has elevated privileges (Admin/PowerUser) but MFA is not enabled,265,128,28,False,PowerUser
Jackson.anderson,Customer Support,Support Specialist,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,286,162,19,True,Limited
Jackson.anderson,Customer Support,Support Specialist,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,286,162,19,True,Limited
Benjamin.rodriguez,Customer Support,Customer Success Specialist,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,81,200,14,True,ReadOnly
Isabella.rodriguez,Customer Support,Support Specialist,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,266,134,9,True,VendorTemporaryAccess
Noah.jones,Customer Support,Support Specialist,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,171,91,12,False,Developer
Noah.jones,Customer Support,Support Specialist,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,171,91,12,False,Developer
Noah.jones,Customer Support,Support Specialist,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,171,91,12,False,Developer
Harper.hernandez,Customer Support,Customer Success Specialist,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,109,26,16,False,VendorTemporaryAccess
Harper.hernandez,Customer Support,Customer Success Specialist,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,109,26,16,False,VendorTemporaryAccess
Henry.smith,Customer Support,Patient Support Agent,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,199,241,11,True,Limited
Henry.smith,Customer Support,Patient Support Agent,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,199,241,11,True,Limited
Abigail.moore,Customer Support,Support Specialist,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,199,228,16,True,ReadOnly
Abigail.moore,Customer Support,Support Specialist,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,199,228,16,True,ReadOnly
Scarlett.gonzalez,Customer Support,Support Specialist,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,14,109,19,True,Developer
Lucas.gonzalez,Data Analytics,BI Engineer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,236,56,28,False,SecurityAudit
Lucas.gonzalez,Data Analytics,BI Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,236,56,28,False,SecurityAudit
Noah.johnson,Data Analytics,Healthcare Data Analyst,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,179,67,9,False,Administrator
Noah.johnson,Data Analytics,Healthcare Data Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,179,67,9,False,Administrator
Noah.johnson,Data Analytics,Healthcare Data Analyst,ACTIVE,PRIVILEGED_NO_MFA,CRITICAL,CC6.3,AC-6(5),User has elevated privileges (Admin/PowerUser) but MFA is not enabled,179,67,9,False,Administrator
Grace.brown,Data Analytics,BI Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,85,165,10,True,Developer
Aria.gonzalez,Data Analytics,Data Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,159,157,8,True,Limited
Aria.gonzalez,Data Analytics,Data Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,159,157,8,True,Limited
Victoria.martin,Data Analytics,Data Analyst,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,124,36,20,False,PowerUser
Victoria.martin,Data Analytics,Data Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,124,36,20,False,PowerUser
Victoria.martin,Data Analytics,Data Analyst,ACTIVE,PRIVILEGED_NO_MFA,CRITICAL,CC6.3,AC-6(5),User has elevated privileges (Admin/PowerUser) but MFA is not enabled,124,36,20,False,PowerUser
Scarlett.lopez,Data Analytics,Healthcare Data Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,177,146,16,True,PowerUser
Scarlett.lopez,Data Analytics,Healthcare Data Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,177,146,16,True,PowerUser
Emma.wilson,Finance & Billing,Billing Admin,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,215,220,14,False,SecurityAudit
Emma.wilson,Finance & Billing,Billing Admin,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,215,220,14,False,SecurityAudit
Emma.wilson,Finance & Billing,Billing Admin,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,215,220,14,False,SecurityAudit
Daniel.rodriguez,Finance & Billing,Billing Admin,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,222,55,13,True,VendorTemporaryAccess
Sebastian.williams,Finance & Billing,Revenue Cycle Manager,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,165,228,22,True,Support
Sebastian.williams,Finance & Billing,Revenue Cycle Manager,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,165,228,22,True,Support
James.hernandez,Finance & Billing,Claims Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,291,166,8,True,Administrator
James.hernandez,Finance & Billing,Claims Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,291,166,8,True,Administrator
Ethan.rodriguez,Finance & Billing,Billing Admin,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,108,100,21,False,Support
Ethan.rodriguez,Finance & Billing,Billing Admin,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,108,100,21,False,Support
Ethan.rodriguez,Finance & Billing,Billing Admin,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,108,100,21,False,Support
Grace.moore,HR & Administration,HR Administrator,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,271,98,16,True,SecurityAudit
Grace.moore,HR & Administration,HR Administrator,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,271,98,16,True,SecurityAudit
Jackson.taylor,HR & Administration,HR Manager,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,247,80,11,False,Support
Jackson.taylor,HR & Administration,HR Manager,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,247,80,11,False,Support
Ava.moore,HR & Administration,HR Manager,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,184,55,20,True,Developer
Emma.smith,Product & Project Mgmt,Product Manager,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,64,173,14,True,Support
Isabella.brown,Product & Project Mgmt,Product Manager,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,288,87,27,False,Limited
Isabella.brown,Product & Project Mgmt,Product Manager,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,288,87,27,False,Limited
